SectionName,E_Nmm2,I_cm4,PermissibleShear_kN,PermissibleMoment_kNm,Grade
Beam H20 I,1076,4181,11,5,Timber
VT 20 Girder I,11000,4181,11,5
VT 20 Girder II,11000,8362,11,5
SRZ U100 Waler,210000,115,13.86
SRU/SRZ U120 Waler,210000,728,114,19.30
Purlin 160,210000,102.4,0,0
Purlin 220,200000,745,0,0
ISMB100,210000,257.5,40,8.5,Fe250
ISMB125,210000,449,51,14.7,Fe250
ISMB150,210000,726,63,19.2,Fe250
ISMB175,210000,1272,73,25.7,Fe250
ISMB200,210000,2235.4,81,33.7,Fe250
ISMB225,210000,3441.8,91,41.1,Fe250
ISMB250,210000,5131.6,100,49.5,Fe250
ISMB300,210000,8603.6,110,63.7,Fe250
ISMB350,210000,13630.3,120,81.2,Fe250
ISMB400,210000,20458.4,131,93.4,Fe250
ISMB450,210000,30390.8,142,106.6,Fe250
ISMB500,210000,45218.3,153,122.7,Fe250
ISMB550,210000,64893.6,220,476.6,Fe250
ISMB600,210000,91813.0,240,674.0,Fe250
ISMC75,210000,76.0,15,2.5,Fe250
ISMC100,210000,186.7,27,6.0,Fe250
ISMC125,210000,416.4,42,11.7,Fe250
ISMC150,210000,779.4,57,16.0,Fe250
ISMC175,210000,1223.3,73,23.4,Fe250
ISMC200,210000,1819.3,88,29.3,Fe250
ISMC225,210000,2694.6,104,37.2,Fe250
ISMC250,210000,3816.8,120,45.6,Fe250
ISMC300,210000,6362.6,143,62.8,Fe250
ISMC350,210000,10008.0,172,100.0,Fe250
ISMC400,210000,15082.8,200,151.0,Fe250
